accession,name,description,Study Disease/Focus,Study Design,Study Markerset,Parent study,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms
"phs001001.v1.p1","MGH Atrial Fibrillation Study","The Massachusetts General Hospital (MGH) Atrial Fibrillation Study was initiated in 2001. The study has enrolled serial probands, unaffected and affected family members with atrial fibrillation. At enrollment participants  undergo a structured interview to systematically capture their past medical history, AF treatments, and family history. An electrocardiogram is","Atrial Fibrillation","Case Set","WES_markerset_grc37, target_markerset_grc37","Not Applicable","Not Provided","4 phenotype datasets, 35 variables, 3 molecular datasets,  SRA, 1025 subjects, 949 samples, 3 sub-studies","","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , DS-AF-IRB-RD --- Disease-specific (atrial fibrillation, irb, rd)","2018-03-06","2018-03-06","AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations; Fibrillation, Atrial"
"phs001022.v1.p1","PsychENCODE: Autism Transcriptional and Epigenetic Profiling","Our current understanding of autism spectrum disorders (ASD) delineates a highly heritable, yet etiologically heterogeneous disease. Forward genetic approaches to find disease associated mutations or common variation have been  successful and continue to offer considerable power. Yet, given the accumulating evidence for very significant heterogeneity and environmental","Autistic Disorder","Case-Control","Not Provided","Not Applicable","Not Provided","3 phenotype datasets, 18 variables,  SRA, 123 subjects, 499 samples, 4 sub-studies","","NIMH","GRU --- General research use","2017-08-18","2017-08-18","AUTISTIC DISORDER; AUTS; Autism; Autism (209850); Autism disorder; Autism, Early Infantile"
"phs001030.v1.p1","Viral Respiratory Pathogens Genetics","The overall purpose of this study is to investigate the host genetic factors in response to influenza virus infection, with the focus on influenza vaccination in the first substudy  ""Adult Influenza Vaccine Genetics"" and with the focus on influenza natural infection and other acute respiratory infections (ARIs) in the second","Influenza, Human","Prospective Longitudinal Cohort","Not Provided","Not Applicable","Not Provided","2 phenotype datasets, 9 variables, 388 subjects, 518 samples, 2 sub-studies","","NIAID","GRU-IRB --- General research use (irb)","2017-06-02","2017-06-02","Flu; Flu, Human; Grippe; Human Flu; Human Influenza; Human Influenzas"
"phs001078.v1.p1","Common Variant GWAS, GECCO","Genetics Epidemiology of Colorectal Cancer Consortium (GECCO) is a collaborative effort which aims to accelerate the discovery of colorectal cancer-related variants by discovering, replicating and fine-mapping Genome Wide Association  Study (GWAS) findings, conducting a meta-analysis of GWAS data, and investigating how genetic variants are modified by environmental risk factors","Colorectal Neoplasms","Case-Control","HumanCytoSNP-12v2, HumanOmniExpress-12v1_A, HumanOmniExpress_NCI_GECCO","Not Applicable","Not Provided","2 phenotype datasets, 9 variables, 12 molecular datasets, 17766 subjects, 18509 samples, 12 sub-studies","","NCI","GRU --- General research use , HMB-IRB-NPU --- Health/medical/biomedical (irb, npu) , CADM --- Cancer in all age groups, other diseases in adults only, and methods , HMB-PUB-NPU-MDS-GSO --- Health/medical/biomedical (pub, npu, mds, gso) , DS-CC-NPU-GSO --- Disease-specific (colorectal cancer, npu, gso) , DS-CC-MDS --- Disease-specific (colorectal cancer, mds) , HMB-IRB --- Health/medical/biomedical (irb) , DS-CA-PUB --- Disease-specific (cancer, pub) , HMB-PUB --- Health/medical/biomedical (pub)","2018-11-27","2018-11-27","CRC; Cancer of Large Bowel; Cancer of Large Intestine; Cancer of the Large Bowel; Cancer of the Large Intestine; Cancer, Colorectal"
"phs001120.v1.p1","ELLIPSE Prostate Cancer Meta-Analysis and Genotyping","The Elucidating Loci Involved in Prostate Cancer Susceptibility (ELLIPSE) Consortium is an international effort to discover risk loci for prostate cancer. It includes the meta-analysis of existing GWAS data  as well as novel GWAS, exome, and iCOGS genotyping. The GWAS meta-analysis includes the following cases and controls from studies of European","Prostatic Neoplasms","Case-Control","Cancer_BeadChip, HumanExome, HumanOmni2.5-8v1_A","Not Applicable","Not Provided","2 phenotype datasets, 7 variables, 3 molecular datasets, 12947 subjects, 12947 samples, 2 sub-studies","","NCI","DS-PC-MDS --- Disease-specific (prostate cancer, mds) , DS-CA --- Disease-specific (cancer) , GRU-MDS --- General research use (mds) , DS-PC --- Disease-specific (prostate cancer)","2017-03-31","2017-03-31","NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate"
"phs001166.v1.p1","Type 2 Diabetes Starr County GWAS and Exome Sequencing","The T2D Seq GWAS Starr County Cohort is utilized in the following dbGaP sub-studies. To view genotypes, other molecular data, and derived variables collected in these sub-studies, please click  on the following sub-studies below or in the ""Sub-studies"" box located on the right hand side of this top-level study page phs001166 T2D Seq GWAS","Diabetes Mellitus, Type 2","Case-Control","Genome-Wide_Human_SNP_Array_6.0, exome_vcf_grc37","Not Applicable","Not Provided","2 phenotype datasets, 11 variables, 2 molecular datasets, 1997 subjects, 2121 samples, 2 sub-studies","","NIDDK","GRU-IRB --- General research use (irb)","2016-07-13","2016-07-13","Adult-Onset Diabetes; Adult-Onset Diabetes Mellitus; DIABETES MELLITUS, TYPE 2; DIABETES MELLITUS, TYPE 2, PROTECTION AGAINST; DIABETES MELLITUS, TYPE II; DIABETES MELLITUS, TYPE II, SUSCEPTIBILITY TO"
"phs001167.v1.p1","Type 2 Diabetes in African Americans, GWAS and Exome Sequencing","The T2D Seq GWAS AA Cohort is utilized in the following dbGaP sub-studies. To view genotypes, other molecular data, and derived variables collected in these sub-studies, please click on  the following sub-studies below or in the ""Sub-studies"" box located on the right hand side of this top-level study page phs001167 T2D Seq GWAS AA","Diabetes Mellitus, Type 2","Case-Control","Genome-Wide_Human_SNP_Array_6.0, exome_vcf_grc37","Not Applicable","Not Provided","2 phenotype datasets, 13 variables, 2 molecular datasets, 3054 subjects, 3192 samples, 2 sub-studies","","NIDDK","DS-T2D-IRB-RD --- Disease-specific (type 2 diabetes, irb, rd)","2016-07-13","2016-07-13","Adult-Onset Diabetes; Adult-Onset Diabetes Mellitus; DIABETES MELLITUS, TYPE 2; DIABETES MELLITUS, TYPE 2, PROTECTION AGAINST; DIABETES MELLITUS, TYPE II; DIABETES MELLITUS, TYPE II, SUSCEPTIBILITY TO"
"phs001172.v1.p2","NINDS Parkinson's Disease","This study utilized the well characterized collection of North American Caucasians with Parkinson's disease, and neurologically normal controls from the sample population which are banked in the National Institute  of Neurological Disorders and Stroke (NINDS Repository) collection. Two sub-studies are included, in sub-study ""NINDS-Genome-Wide Genotyping in","Parkinson Disease","Case-Control","WES_markerset_grc37","Not Applicable","Not Provided","2 phenotype datasets, 9 variables, 2 molecular datasets,  SRA, 2116 subjects, 3582 samples, 2 sub-studies","","NINDS","GRU --- General research use","2016-12-22","2016-12-22","Idiopathic Parkinson Disease; Idiopathic Parkinson's Disease; Idiopathic Parkinsonism; Lewy Body Parkinson Disease; Lewy Body Parkinson's Disease; PARKINSON DISEASE"
"phs001175.v2.p2","CTSP: Clinical Trial Sequencing Project","For the Clinical Trials Sequencing Project (CTSP), National Cancer Institute (NCI) will utilize whole genome sequencing and/or whole exome sequencing in conjunction with transcriptome sequencing to try to identify  recurrent genetic alterations (mutations, deletions, amplifications, rearrangements) and/or gene expression signatures that would be important to the","Breast","Collection","Not Provided","Not Applicable","Not Provided","2 phenotype datasets, 6 variables,  SRA, 366 subjects, 366 samples, 1 sub-studies","","NCI","GRU --- General research use","2019-01-29","2018-04-11","Adenocarcinoma Of Kidney; Adenocarcinoma Of Kidneys; Adenocarcinoma of the Kidney; Adenocarcinoma, Renal; Adenocarcinoma, Renal Cell; Adenocarcinomas, Renal"
"phs001180.v1.p1","Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study","A case-control pharmacogenetic study of bronchodilator drug response among racially admixed Latino children with asthma. Each participant had two spirometry measurements using the KoKo PFT System. With the first  spirometry test, participant was administered with 4 puffs of HFA Albuterol. The second albuterol measurement was based on age, for participants","Lung Diseases","Case-Control","Axiom_GW_LAT_1_na34","Not Applicable","Not Provided","4 phenotype datasets, 27 variables, 1 molecular datasets, 4458 subjects, 4427 samples, 1 sub-studies","","NHLBI","DS-LD-RD --- Disease-specific (lung disease, rd)","2017-12-20","2017-12-20","Disease, Lung; Disease, Pulmonary; Diseases, Lung; Diseases, Pulmonary; Lung Disorders; Lung disorder"
"phs001194.v2.p2","Pediatric Cardiac Genomics Consortium (PCGC) Study","Multi-center, prospective observational cohort study of individuals with congenital heart defects (CHD). Phenotypic data and source DNA derived from 10,000 probands, parents, and families of interest are being collected  to investigate relationships between genetic factors and phenotypic and clinical outcomes in patients with CHD. The PCGC Cohort is utilized in the","Heart Defects, Congenital","Prospective Longitudinal Cohort","HumanOmni1-Quad_v1-0_B, HumanOmni25-8v1, HumanOmni2.5-8v1_A, HumanOmni2.5-8v1.1","Not Applicable","Not Provided","20 phenotype datasets, 435 variables, 2 molecular datasets, 9463 subjects, 11829 samples, 1 sub-studies","","NHLBI","HMB --- Health/medical/biomedical , DS-CHD --- Disease-specific (congenital heart disease)","2018-09-14","2017-11-09","Abnormalities, Heart; Abnormality, Heart; Cardiac abnormalities; Cardiac anomaly; Congenital Heart Defect; Congenital anomaly of heart"
"phs001238.v2.p1","Genetic Epidemiology Network of Arteriopathy (GENOA)","The Genetic Epidemiology Network of Arteriopathy (GENOA) is one of four networks in the NHLBI Family-Blood Pressure Program (FBPP). GENOA's long-term objective is to elucidate the genetics of target  organ complications of hypertension, including both atherosclerotic and arteriolosclerotic complications involving the heart, brain, kidneys, and","Hypertension","Prospective Longitudinal Cohort","Human1M-Duov3_H, Genome-Wide_Human_SNP_Array_6_0, Human660W-Quad_v1_H, Human1M-Duov3_H, Genome-Wide_Human_SNP_Array_6_0","Not Applicable","Not Provided","39 phenotype datasets, 1118 variables, 1 documents, 1 molecular datasets, 3462 subjects, 3039 samples, 1 sub-studies","","NHLBI","DS-ASC-RF-NPU --- Disease-specific (arteriosclerosis and its risk factors, npu)","2018-08-08","2017-09-08","Aging, Biological; Biological Aging; Arterial Pressure, Mean; Arterial Pressures, Mean; MAP - Mean arterial pressure; MBP - Mean blood pressure"
"phs001300.v1.p1","NABEC: North American Brain Expression Consortium","This study utilized neurologically normal control samples deposited in North American Brain Expression Consortium (NABEC). This top-level study, phs001300, makes available all phenotype data of the NABEC study participants.  In addition, molecular data of six sub-studies are available through dbGaP: 1. NABEC Genome-Wide Genotyping - phs000249 2. NABEC Exome Sequencing","Gene Expression Profiling","Control Set","HumanHap550_v3, Human610-Quadv1_B, Human660W-Quad_v1_A, WES_markerset_grc37, Neuro_Consortium_20013217_A2","Not Applicable","Not Provided","3 phenotype datasets, 14 variables, 6 molecular datasets,  SRA, 432 subjects, 2246 samples, 6 sub-studies","","NIA","GRU --- General research use","2018-03-21","2018-03-21","Analyses, Transcript Expression; Analyses, Transcriptome; Analysis, Transcript Expression; Analysis, Transcriptome; Gene Expression Monitoring; Gene Expression Monitorings"
"phs001304.v1.p1","NCI Biospecimen Pre-analytical Variables (BPV) Analysis","The Biospecimen Pre-analytical Variables (BPV) Program is a National Cancer Institute-sponsored study to systematically assess the effects of pre-analytical factors on the molecular profile of biospecimens. A robust biospecimen  collection infrastructure was established to prospectively collect biospecimens using rigorous standard operating procedures to control for most","Carcinoma, Renal Cell","Case Set","SNP-PCR, Cytogenetic_Arrays, custom_markerset","Not Applicable","Not Provided","3 phenotype datasets, 466 variables, 6 molecular datasets,  SRA, 153 subjects, 1554 samples, 7 sub-studies","","NCI","GRU-PUB --- General research use (pub)","2018-10-12","2018-10-12","Adenocarcinoma of lung; Adenocarcinoma Of Kidney; Adenocarcinoma Of Kidneys; Adenocarcinoma of the Kidney; Adenocarcinoma, Renal; Adenocarcinoma, Renal Cell"
"phs001442.v1.p1","The Environmental Determinants of Diabetes in the Young Study (TEDDY)    Project","The Environmental Determinants of Diabetes in the Young (TEDDY) Study investigates genetic and genetic-environmental interactions, including gestational events, childhood infections, dietary exposures, and other environmental factors after birth, in  relation to the development of islet autoimmunity and type 1 diabetes (T1D). A consortium of six clinical centers assembled to participate in the","Diabetes Mellitus, Type 1","Prospective Longitudinal Cohort","HumanHT-12_v4, Custom_TEDDY_ImmunoArray_176K","Not Applicable","Not Provided","4 phenotype datasets, 18 variables, 2 molecular datasets, 8325 subjects, 22071 samples, 3 sub-studies","","NIDDK","DS-T1DR-IRB-RD --- Disease-specific (type 1 diabetes, its complications and other autoimmune diseases, irb, rd)","2018-08-31","2018-08-31","DIABETES MELLITUS, INSULIN-DEPENDENT, 1; DIABETES MELLITUS, TYPE I; Diabetes Mellitus, Insulin Dependent; Diabetes Mellitus, Juvenile Onset; Diabetes Mellitus, Juvenile-Onset; Diabetes mellitus Type I"
"phs001475.v1.p1","Genes Influencing Susceptibility to Infection and Malnutrition","NIH birth cohort study Amebiasis is a common cause of diarrhea and is associated with malnutrition in grade-school aged children in an urban slum of Dhaka, Bangladesh. Field Studies  of Human Immunity to Amebiasis in Bangladesh was designed to determine the contribution of amebiasis to illness in the first 2 years of life when","Sprue, Tropical","Prospective Longitudinal Cohort","Human1M-Duov3_B, HumanOmni2.5-8v1_C, HumanOmni1-Quad_v1-0_B, MEGA_Consortium_v2_15070954_A2","Not Applicable","Not Provided","2 phenotype datasets, 6 variables, 2 molecular datasets, 1093 subjects, 1093 samples, 3 sub-studies","","NIAID","DS-TENT-IRB-PUB-NPU-MDS-GSO-RD --- Disease-specific (tropical enteropathy, irb, pub, npu, mds, gso, rd)","2018-11-13","2018-11-13","Child Development; Development, Child; Communicable Disease; Disease due to infection; Disease, Communicable; Disease, Infectious"
"phs001683.v1.p1","CSER: Incorporation of Genomic Sequencing into Pediatric Cancer Care","This project includes data derived from subjects enrolled in the BASIC3 (Baylor College of Medicine Advancing Sequencing in Childhood Cancer Care) study. BASIC3 is a National Genome Human Research  Institute (NHGRI) and National Cancer Institute-funded Clinical Sequencing Exploratory Research (CSER) consortium project that focused on prospective","Genes, Neoplasm","Prospective Longitudinal Cohort","Not Provided","Not Applicable","Not Provided","3 phenotype datasets, 17 variables,  SRA, 626 subjects, 482 samples, 2 sub-studies","","NCI","GRU-PUB --- General research use (pub)","2019-08-20","2019-08-20","Bone Cancer; Cancer of Bone; Cancer of the Bone; Malignant Bone Tumor; Malignant Neoplasm of Bone; Malignant Neoplasm of the Bone"
